Name,Player_type,Age,Nationality,Overall,Potential,Vvalue,Wwage,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
Cristiano Ronaldo,Attack,32,Portugal,94,94,95500000,565000,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88
L. Messi,Attack,30,Argentina,93,93,105000000,565000,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85
Neymar,Attack,25,Brazil,92,94,123000000,280000,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83
L. Suárez,Attack,30,Uruguay,92,92,97000000,510000,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88
R. Lewandowski,Attack,28,Poland,91,91,92000000,355000,79,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87
E. Hazard,Attack,26,Belgium,90,91,90500000,295000,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79
G. Higuaín,Attack,29,Argentina,90,90,77000000,275000,78,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88
A. Sánchez,Attack,28,Chile,89,89,67500000,265000,88,80,90,87,87,86,80,78,90,85,78,10,10,15,12,13,70,42,85,73,82,30,77,86,87,81,84,35,84,85,39,72,83,83
G. Bale,Attack,27,Wales,89,89,69500000,370000,93,65,77,65,87,85,87,86,89,87,85,15,15,11,5,6,86,59,85,80,90,51,76,86,87,86,91,52,95,76,55,80,79,76
P. Dybala,Attack,23,Argentina,88,93,79000000,215000,88,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88
A. Griezmann,Attack,26,France,88,91,75000000,150000,87,69,90,80,86,86,82,84,87,88,75,14,8,14,13,14,80,35,87,75,82,23,71,91,90,79,81,11,86,76,22,61,76,87
S. Mané,Attack,25,Senegal,84,87,39000000,175000,94,73,89,85,84,78,72,74,86,83,64,10,10,15,7,14,53,31,75,71,69,33,71,84,80,77,77,38,92,82,35,72,78,68
H. Kane,Attack,23,England,86,90,59000000,165000,68,74,73,62,82,84,70,71,78,90,66,8,10,11,14,11,83,35,70,67,84,41,84,89,87,75,87,38,74,85,36,86,75,73
R. Lukaku,Attack,24,Belgium,86,90,59000000,210000,76,72,62,47,75,84,68,72,77,89,66,8,15,14,7,10,87,27,71,68,75,27,82,87,85,71,88,30,89,80,30,93,73,76
K. Mbappé,Attack,18,France,83,94,41500000,31000,89,62,78,76,87,80,70,75,86,87,58,13,5,7,11,6,76,49,71,68,68,41,70,79,79,78,79,40,90,83,44,74,77,74
J. Boateng,Defence,28,Germany,88,88,48000000,215000,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53
